,Season,team,coach_name
0,2020/2021,MIL,M. Budenholzer
1,2019/2020,MIL,M. Budenholzer
2,2018/2019,MIL,M. Budenholzer
3,2017/2018,MIL,J. Kidd
4,2016/2017,MIL,J. Kidd
5,2015/2016,MIL,J. Kidd
6,2014/2015,MIL,J. Kidd
7,2013/2014,MIL,L. Drew
8,2012/2013,MIL,S. Skiles
9,2011/2012,MIL,S. Skiles
10,2010/2011,MIL,S. Skiles
11,2009/2010,MIL,S. Skiles
12,2008/2009,MIL,S. Skiles
13,2007/2008,MIL,L. Krystkowiak
14,2006/2007,MIL,T. Stotts
15,2005/2006,MIL,T. Stotts
16,2004/2005,MIL,T. Porter
17,2003/2004,MIL,T. Porter
18,2002/2003,MIL,G. Karl
19,2001/2002,MIL,G. Karl
20,2000/2001,MIL,G. Karl
21,1999/2000,MIL,G. Karl
22,1998/1999,MIL,G. Karl
23,1997/1998,MIL,C. Ford
24,1996/1997,MIL,C. Ford
25,1995/1996,MIL,M. Dunleavy
26,1994/1995,MIL,M. Dunleavy
27,1993/1994,MIL,M. Dunleavy
28,1992/1993,MIL,M. Dunleavy
29,1991/1992,MIL,D. Harris
30,1990/1991,MIL,D. Harris
31,1989/1990,MIL,D. Harris
32,1988/1989,MIL,D. Harris
33,1987/1988,MIL,D. Harris
34,1986/1987,MIL,D. Nelson
35,1985/1986,MIL,D. Nelson
36,1984/1985,MIL,D. Nelson
37,1983/1984,MIL,D. Nelson
38,1982/1983,MIL,D. Nelson
39,1981/1982,MIL,D. Nelson
40,1980/1981,MIL,D. Nelson
41,1979/1980,MIL,D. Nelson
42,1978/1979,MIL,D. Nelson
43,1977/1978,MIL,D. Nelson
44,1976/1977,MIL,L. Costello
45,1975/1976,MIL,L. Costello
46,1974/1975,MIL,L. Costello
47,1973/1974,MIL,L. Costello
48,1972/1973,MIL,L. Costello
49,1971/1972,MIL,L. Costello
50,1970/1971,MIL,L. Costello
51,1969/1970,MIL,L. Costello
52,1968/1969,MIL,L. Costello
0,2020/2021,CHI,B. Donovan
1,2019/2020,CHI,J. Boylen
2,2018/2019,CHI,F. Hoiberg
3,2017/2018,CHI,F. Hoiberg
4,2016/2017,CHI,F. Hoiberg
5,2015/2016,CHI,F. Hoiberg
6,2014/2015,CHI,T. Thibodeau
7,2013/2014,CHI,T. Thibodeau
8,2012/2013,CHI,T. Thibodeau
9,2011/2012,CHI,T. Thibodeau
10,2010/2011,CHI,T. Thibodeau
11,2009/2010,CHI,V. Del Negro
12,2008/2009,CHI,V. Del Negro
13,2007/2008,CHI,S. Skiles
14,2006/2007,CHI,S. Skiles
15,2005/2006,CHI,S. Skiles
16,2004/2005,CHI,S. Skiles
17,2003/2004,CHI,B. Cartwright
18,2002/2003,CHI,B. Cartwright
19,2001/2002,CHI,T. Floyd
20,2000/2001,CHI,T. Floyd
21,1999/2000,CHI,T. Floyd
22,1998/1999,CHI,T. Floyd
23,1997/1998,CHI,P. Jackson
24,1996/1997,CHI,P. Jackson
25,1995/1996,CHI,P. Jackson
26,1994/1995,CHI,P. Jackson
27,1993/1994,CHI,P. Jackson
28,1992/1993,CHI,P. Jackson
29,1991/1992,CHI,P. Jackson
30,1990/1991,CHI,P. Jackson
31,1989/1990,CHI,P. Jackson
32,1988/1989,CHI,D. Collins
33,1987/1988,CHI,D. Collins
34,1986/1987,CHI,D. Collins
35,1985/1986,CHI,S. Albeck
36,1984/1985,CHI,K. Loughery
37,1983/1984,CHI,K. Loughery
38,1982/1983,CHI,P. Westhead
39,1981/1982,CHI,J. Sloan
40,1980/1981,CHI,J. Sloan
41,1979/1980,CHI,J. Sloan
42,1978/1979,CHI,L. Costello
43,1977/1978,CHI,E. Badger
44,1976/1977,CHI,E. Badger
45,1975/1976,CHI,D. Motta
46,1974/1975,CHI,D. Motta
47,1973/1974,CHI,D. Motta
48,1972/1973,CHI,D. Motta
49,1971/1972,CHI,D. Motta
50,1970/1971,CHI,D. Motta
51,1969/1970,CHI,D. Motta
52,1968/1969,CHI,D. Motta
53,1967/1968,CHI,R. Kerr
54,1966/1967,CHI,R. Kerr
0,2020/2021,IND,N. Bjorkgren
1,2019/2020,IND,N. McMillan
2,2018/2019,IND,N. McMillan
3,2017/2018,IND,N. McMillan
4,2016/2017,IND,N. McMillan
5,2015/2016,IND,F. Vogel
6,2014/2015,IND,F. Vogel
7,2013/2014,IND,F. Vogel
8,2012/2013,IND,F. Vogel
9,2011/2012,IND,F. Vogel
10,2010/2011,IND,J. O'Brien
11,2009/2010,IND,J. O'Brien
12,2008/2009,IND,J. O'Brien
13,2007/2008,IND,J. O'Brien
14,2006/2007,IND,R. Carlisle
15,2005/2006,IND,R. Carlisle
16,2004/2005,IND,R. Carlisle
17,2003/2004,IND,R. Carlisle
18,2002/2003,IND,I. Thomas
19,2001/2002,IND,I. Thomas
20,2000/2001,IND,I. Thomas
21,1999/2000,IND,L. Bird
22,1998/1999,IND,L. Bird
23,1997/1998,IND,L. Bird
24,1996/1997,IND,L. Brown
25,1995/1996,IND,L. Brown
26,1994/1995,IND,L. Brown
27,1993/1994,IND,L. Brown
28,1992/1993,IND,B. Hill
29,1991/1992,IND,B. Hill
30,1990/1991,IND,D. Versace
31,1989/1990,IND,D. Versace
32,1988/1989,IND,J. Ramsay
33,1987/1988,IND,J. Ramsay
34,1986/1987,IND,J. Ramsay
35,1985/1986,IND,G. Irvine
36,1984/1985,IND,G. Irvine
37,1983/1984,IND,J. McKinney
38,1982/1983,IND,J. McKinney
39,1981/1982,IND,J. McKinney
40,1980/1981,IND,J. McKinney
41,1979/1980,IND,S. Leonard
42,1978/1979,IND,S. Leonard
43,1977/1978,IND,S. Leonard
44,1976/1977,IND,S. Leonard
45,1975/1976,IND,S. Leonard
46,1974/1975,IND,S. Leonard
47,1973/1974,IND,S. Leonard
48,1972/1973,IND,S. Leonard
49,1971/1972,IND,S. Leonard
50,1970/1971,IND,S. Leonard
51,1969/1970,IND,S. Leonard
52,1968/1969,IND,L. Staverman
53,1967/1968,IND,L. Staverman
0,2020/2021,DET,D. Casey
1,2019/2020,DET,D. Casey
2,2018/2019,DET,D. Casey
3,2017/2018,DET,S. Van Gundy
4,2016/2017,DET,S. Van Gundy
5,2015/2016,DET,S. Van Gundy
6,2014/2015,DET,S. Van Gundy
7,2013/2014,DET,M. Cheeks
8,2012/2013,DET,L. Frank
9,2011/2012,DET,L. Frank
10,2010/2011,DET,J. Kuester
11,2009/2010,DET,J. Kuester
12,2008/2009,DET,M. Curry
13,2007/2008,DET,F. Saunders
14,2006/2007,DET,F. Saunders
15,2005/2006,DET,F. Saunders
16,2004/2005,DET,L. Brown
17,2003/2004,DET,L. Brown
18,2002/2003,DET,R. Carlisle
19,2001/2002,DET,R. Carlisle
20,2000/2001,DET,G. Irvine
21,1999/2000,DET,A. Gentry
22,1998/1999,DET,A. Gentry
23,1997/1998,DET,D. Collins
24,1996/1997,DET,D. Collins
